"","Site.Code","Easting","Northing","transformer_count"
"1","ABHA",277200.136881283,64999.5608485828,1
"2","ABTH",302500.140744223,166099.835585168,1
"3","ALDW",445188.661354314,394545.404975209,1
"4","ALVE",250199.662272563,125100.187264108,1
"5","AMEM",493019.97406328,197156.185717675,1
"6","AXMI",334931.558309705,98996.8741985054,1
"7","AYR-",236487.599683364,621156.298956249,1
"8","BARK",546811.26188559,182270.603235752,3
"9","BEAU",250766.340370072,844658.673161183,3
"10","BEDD",530311.73586738,165546.594590752,3
"11","BERB",307081.679521944,851188.328303963,1
"12","BESW",426300.296093742,276499.689924231,1
"13","BICF",519678.322886044,338555.867900572,1
"14","BIRK",329472.855057272,386069.224798159,1
"15","BISW",383599.686177194,268299.867887039,1
"16","BLYT",429878.222972872,583149.099908108,3
"17","BODE",301737.88633234,373570.097392391,1
"18","BOLN",524000.183167598,121099.85248396,1
"19","BONN",284001.247277291,680951.204534809,1
"20","BOTW",454185.154482246,109768.149791736,1
"21","BRAI",577499.950735879,221599.882870346,1
"22","BRAW",408900.278159292,434899.466930652,3
"23","BRED",391499.859343825,390900.409840791,1
"24","BRFO",609945.763434065,246063.882839499,1
"25","BRIM",536805.664167214,198014.139584578,1
"26","BRIN",443313.114059034,389601.775169409,2
"27","BRLE",464399.731981008,159999.580260519,1
"28","BRWA",332299.962437486,135799.85918829,1
"29","BURW",557799.956738796,267200.486396957,1
"30","BUSH",392382.300447331,304387.514240267,1
"31","BUST",402689.297115044,295049.578314774,1
"32","CANT",615877.53282879,159345.789307751,1
"33","CAPE",336991.338121123,374952.575916694,3
"34","CARE",320585.978621205,178013.320291716,1
"35","CARR",373373.497097224,393197.09547768,3
"36","CELL",394599.917532497,349299.623416348,1
"37","CHAS",259943.004991801,664693.426145958,1
"38","CHIC",365569.976066452,80556.7241505776,1
"39","CHSI",516900.13960535,161899.772770979,1
"40","CHTE",440899.682685478,369900.114875075,1
"41","CILF",310097.418654652,193806.876672654,2
"42","CITR",532181.993833278,183027.306786884,1
"43","CLAS",356572.295721808,835907.23165889,1
"44","CLYM",265532.212281053,660871.933500534,1
"45","CLYN",258556.551796185,662507.4843446,1
"46","CLYS",259301.043732112,666125.48433217,1
"47","COAL",282340.315002094,637431.536825611,1
"48","COAT",274049.062581511,663857.885688813,1
"49","COCK",339736.059493156,675265.98630628,3
"50","CONN",289735.825308197,958740.3025819,1
"51","CONQ",328154.389157554,370929.022637912,1
"52","COTT",481294.113158171,378922.957148695,1
"53","COVE",436579.708594494,284228.353850104,1
"54","COWL",456021.256119546,201692.347633946,1
"55","COYL",246329.481141012,619691.505050142,1
"56","CREB",504462.016983261,434986.558100494,2
"57","CRSS",182752.992768455,650247.480634361,1
"58","CRYR",364150.642426475,657118.017148382,1
"59","CULJ",453499.844348031,196000.51587801,1
"60","CURR",318271.887821562,668450.142556219,1
"61","DAAS",315141.969336154,852711.011229952,1
"62","DALM",262102.573942657,662432.113602037,1
"63","DENN",282372.013373137,684493.732023524,3
"64","DEVM",230959.635771877,672388.237162782,1
"65","DEWP",324592.783405959,673341.403754681,1
"66","DOUN",298125.138730959,966650.792708312,1
"67","DRAK",423399.99996408,319500.167228217,2
"68","DRAX",466500.068746894,427000.146352228,1
"69","DRUM",253294.878090093,671671.837618711,1
"70","DUNG",607310.661639983,117018.163947152,2
"71","EALI",518352.339213757,179461.735491159,1
"72","EASO",516100.196498729,258799.841438407,1
"73","ECCL",379485.028181913,641670.133325196,1
"74","ECLA",475299.753891461,225899.501122411,1
"75","EERH",270411.518029889,666990.097468969,1
"76","EKIL",262663.117430547,656795.242088493,1
"77","EKIS",264417.826091777,651683.605756454,1
"78","ELLA",411759.01237,422000.813332994,1
"79","ELST",514671.621556684,197049.209920033,3
"80","ELVA",294291.65805348,617173.804112064,2
"81","ENDE",453000.142717533,300136.911286196,1
"82","EXET",301134.093814992,97431.7727472076,1
"83","FALL",358371.473880954,659283.597584153,1
"84","FARI",251940.303611678,823829.695103852,1
"85","FASN",232141.422502017,829248.350740925,1
"86","FAUG",235823.870855947,808347.256744556,2
"87","FAWL",447099.986712956,102699.561778116,1
"88","FECK",402000.174643351,261599.820558666,3
"89","FERR",448099.904375725,425099.970931283,3
"90","FETT",383496.875274886,785556.312284185,1
"91","FIDF",354299.826226868,386299.63643712,1
"92","FLEE",478279.147884168,150741.434385985,1
"93","FOUR",389649.144288547,568652.812465252,1
"94","FROD",352385.121333201,379424.699231477,3
"95","GIFF",256059.235956445,658468.443455737,1
"96","GLRO",325599.136690414,702235.811051798,1
"97","GORW",287628.507220802,928070.613978647,1
"98","GRAI",588853.556952099,175347.490578378,1
"99","GREN",486899.719308877,261300.532433609,1
"100","GRIW",522500.070565051,409300.092932455,1
"101","GRMO",294748.006939345,680049.514517242,1
"102","GRNA",332946.51140964,571330.138113588,1
"103","GRSA",456226.202850115,520388.763717594,1
"104","HACK",535746.833102915,186321.153442388,3
"105","HAMH",419500.284276862,292499.575760694,2
"106","HARK",338386.525401608,561126.605100055,3
"107","HARM",445737.800158,534151.348206091,1
"108","HAWP",438572.564388668,545827.433236915,3
"109","HEYS",341800.055211114,459900.283002018,1
"110","HIGM",480700.033977373,370799.821520996,2
"111","HINP",321000.053213888,145799.469999101,3
"112","HUER",218552.046207679,651154.594683241,1
"113","HUMR",517199.728807485,416700.026008814,1
"114","HUNN",218845.430590126,651327.162991158,2
"115","HURS",549884.338620324,172639.394802535,1
"116","HUTT",356399.854264775,489299.708489178,1
"117","IMPP",328607.129485653,183723.734239064,1
"118","INDQ",194016.537316585,59131.1759074222,1
"119","IROA",366799.674217165,185800.487014249,1
"120","IRON",365600.737074316,304044.973657687,1
"121","IVER",504311.445168119,183731.613501169,3
"122","JORD",436201.179419458,381552.553348568,1
"123","KAIM",327334.386938328,666985.700976447,1
"124","KEAD",482299.70345593,411900.071631551,1
"125","KEAR",376356.165930755,404669.980964737,3
"126","KEIT",343909.086451088,850407.01982033,1
"127","KEMS",590799.869753426,166899.922423654,1
"128","KIBY",343841.911295985,397367.183398972,1
"129","KILG",223206.726976036,576169.459995625,1
"130","KILS",245276.882207325,634510.399027314,3
"131","KILT",243376.966327196,636081.91537863,1
"132","KINO",580800.137376964,171999.99585351,1
"133","KINT",377099.684458149,814294.462037379,1
"134","KIRK",426648.068071813,434468.052552277,1
"135","KITW",399194.298008095,281523.311193086,1
"136","KNAR",433732.838871078,459987.145259454,1
"137","KNOC",265934.492664021,839893.730657507,1
"138","LACK",456158.962934569,519310.959509324,3
"139","LALE",506439.478885883,170543.753580714,1
"140","LAND",240900.219899649,62899.9796303776,1
"141","LEGA",329528.300833079,348321.504366062,1
"142","LISD",338692.259752625,391746.314457299,1
"143","LITT",555600.185186376,176399.51692083,2
"144","LOVE",467499.783704713,113499.558111153,1
"145","MACC",392057.247539567,374627.753740723,3
"146","MAGA",278507.745898009,186389.919200556,1
"147","MAHI",213508.899027524,569268.479485384,1
"148","MANN",407499.830909602,105299.578228072,1
"149","MELK",389699.652454172,165999.685409568,2
"150","MILH",524099.813298194,192499.637840856,1
"151","MITY",399899.994787266,189800.530995952,1
"152","MOFF",306111.369420345,605273.987133636,1
"153","MONF",448408.391654206,429233.405439065,2
"154","MOSM",319677.77517295,691101.467840895,1
"155","NEAR",278802.6648726,660367.973037684,1
"156","NECH",410235.933393639,289922.797653027,1
"157","NECU",259632.226496694,611569.719660286,1
"158","NEEP",434155.752818918,390094.652897244,3
"159","NEIL",245036.144165412,659940.031358267,3
"160","NEWX",534815.03136095,178008.878786747,1
"161","NFLE",562059.651566077,172452.186380952,1
"162","NHYD",510419.555941111,179042.643121465,1
"163","NINF",572399.679374121,111900.503650488,1
"164","NORL",435271.519716455,383680.486678991,1
"165","NORM",621799.895276098,302300.543682116,1
"166","NORT",441145.669639193,522125.567604629,3
"167","NURS",436204.889438285,115918.820509119,1
"168","OCKH",398099.741862567,293799.796239103,1
"169","OFFE",434897.17460275,554187.298310957,1
"170","OLDB",398500.335007589,288999.814201452,3
"171","OSBA",464132.620275402,451678.491265054,1
"172","PADI",378519.426815944,433256.475460163,1
"173","PEHE",412125.356631492,842632.856591265,1
"174","PELH",545800.350090109,228399.45852156,1
"175","PEMB",193399.825559834,202400.293914888,1
"176","PENN",385900.078158195,295399.589574684,3
"177","PENT",255888.45489348,367893.217669871,1
"178","PERS",391730.521138358,809260.062743381,1
"179","PEWO",350156.847727973,427922.870056789,3
"180","PITS",437100.909145631,389478.747343467,1
"181","POOB",330003.971017145,673821.235975184,1
"182","POPP",456972.816644335,453498.25069126,1
"183","PORD",259082.874465356,666734.062174945,1
"184","PYLE",283045.405095686,183258.767195467,1
"185","RAIN",351008.931722052,391863.562180046,1
"186","RASS",315524.699364819,212904.337493302,1
"187","RATS",450200.034610863,329799.834822423,2
"188","RAYL",579945.556966664,190826.925140823,1
"189","REBR",541628.063452004,189726.668526868,1
"190","ROCH",385803.132534204,413979.907409531,3
"191","ROCK",351900.835952866,380032.829857863,1
"192","RUGE",405845.592089776,317669.745578781,1
"193","RYEH",538823.458295835,208575.622320892,1
"194","SAEN",516301.203337541,428770.180873372,1
"195","SALH",449296.403901529,523702.399342163,1
"196","SEAB",353625.569503063,182227.083772836,1
"197","SELL",608399.976287625,138199.580513,1
"198","SHEC",434887.937090209,386616.505523574,1
"199","SHRE",353314.972199276,312546.349987618,1
"200","SHRU",326132.407785998,675333.049169249,1
"201","SIGH",318864.983569287,671055.16216941,1
"202","SIZE",647291.284278693,263596.29236921,1
"203","SJOW",526941.762055386,182494.713004641,3
"204","SKLG",433405.045855383,431381.863131386,1
"205","SMAN",381797.629161215,391630.082699051,1
"206","SMEA",335462.30757548,668782.422553515,3
"207","SPEN",428687.049139039,534596.867800535,1
"208","SSHI",435335.35636907,564462.862876207,1
"209","STAH",335134.713167649,442994.620425432,1
"210","STAL",397125.942968954,399456.9392569,3
"211","STAY",475869.688169225,353982.434898731,1
"212","STEW",416512.143949929,564803.642280383,3
"213","STHA",269539.912397004,652985.794403029,3
"214","STOB",475716.032147946,354126.083165848,1
"215","STRB",279233.643939795,907094.530904268,1
"216","STSB",426506.111093334,399100.288317809,1
"217","SUND",503024.338425694,227522.746123591,1
"218","SWAN",264623.814586196,200082.766353407,3
"219","TAUN",319200.074131969,124800.25403178,1
"220","TEAL",339942.058054015,736910.82905514,1
"221","TEMP",440909.425063438,390753.838554357,1
"222","THOM",460504.712746852,409540.789038855,3
"223","THUR",448763.660230567,390053.958702363,1
"224","TILB",566145.636503589,176054.769417586,3
"225","TINP",440346.587258033,389553.220369888,1
"226","TODP",457139.660757248,523866.036943735,1
"227","TORN",374623.34478214,674886.619754976,1
"228","TOTT",535272.751498931,191235.866435103,1
"229","TRAW",269199.99189866,338400.053682149,3
"230","TREM",321599.694025081,176500.070920319,1
"231","TUMM",276935.966147935,759132.839773403,1
"232","TYNE",432099.372480949,570023.943403195,1
"233","UPPB",310008.231580942,186949.030498366,1
"234","USKM",332306.466500736,183600.188257353,1
"235","WALH",382637.290939405,220106.857436369,1
"236","WALP",548591.131573225,316534.880659969,1
"237","WALX",537504.394975964,203626.953894787,2
"238","WARL",559602.470974111,186277.57514374,1
"239","WASF",345794.027007957,407655.296472169,1
"240","WATS",510519.713427749,194991.858421981,1
"241","WBOL",434000.285882925,560799.702258168,1
"242","WBUR",479467.627857733,385528.519223127,1
"243","WFIE",319616.387990518,697437.381310046,1
"244","WGEO",258400.310701411,665586.810843888,1
"245","WHAM",538993.747833552,181994.047217603,1
"246","WHGA",388980.212639184,403599.893044965,1
"247","WHHO",325159.535253649,671442.362145109,1
"248","WHSO",337114.559273098,185541.480284134,3
"249","WIBA",439051.431713473,391184.146740951,1
"250","WIEN",396010.696682596,297707.182057508,1
"251","WILE",430099.786681739,328700.168126161,2
"252","WIMB",526016.997025661,171773.000042786,1
"253","WISD",520981.256111745,183180.663484487,2
"254","WISH",279119.397094243,653955.924444532,3
"255","WIYH",251693.811722685,673141.248874534,3
"256","WLEE",258442.679190578,647452.23301666,1
"257","WLEX",273387.490674156,661714.434981517,1
"258","WMEL",441430.133905301,400754.073223426,1
"259","WTHU",559056.614972485,177072.134345817,1
"260","WWEY",505940.36961401,162688.417556497,3
"261","WYLF",235122.779220443,393816.1696281,1
"262","WYMO",520400.663962479,226740.046498948,1
