number,num_trans,lat,lon
2,1,50.47192,-3.73183
5,1,56.33943,-3.29375
8,2,51.38554,-3.40251
11,1,56.19764166666666,-5.145416666666667
14,3,53.445746,-1.32135
17,1,57.7081,-4.2742
20,1,51.0064,-4.13651
23,1,51.665,-0.655
26,1,56.2181,-5.21917
29,1,56.56383,-2.61904
32,1,56.283,-4.949
35,2,55.0533,-4.88222
38,1,57.5544,-6.645
41,1,50.7867,-2.924
44,1,55.45686,-4.58739
47,1,55.9004,-3.67388
50,1,56.013815,-3.76771
55,6,51.5229,0.11613
60,6,57.46757,-4.4898
64,6,51.373,-0.126
67,1,57.5045,-3.5997
70,1,55.7774,-2.0787
73,2,52.3859,-1.615
76,1,52.931,-0.2212
79,2,53.366,-3.06273
82,2,52.3121,-2.2417
85,1,55.78187777777778,-3.7185333333333332
88,1,55.79862222222222,-3.730888888888889
93,4,55.1411,-1.531
96,1,57.2535416666666,-3.73210833333333
99,1,53.24996,-3.47587
102,3,50.975,-0.235
106,2,56.007416666666664,-3.8619166666666667
109,1,50.88455,-1.2321
112,1,51.8649,0.5764
115,1,55.8807,-4.381
119,3,53.8104,-1.86428
122,1,56.11042777777778,-3.8884444444444446
125,2,53.415,-2.13128
128,3,52.073123,1.062026
131,1,56.72038,-2.55655
134,2,51.6644,-0.02332
137,1,53.40147,-1.35202
140,3,51.33545,-1.077
143,1,57.2479,-5.9358
146,1,58.0199,-3.8747
149,1,55.9193,-3.4534
152,1,51.11747,-2.969
155,1,56.39667,-3.4875
158,2,52.2803,0.313
161,2,52.637,-2.11
164,4,52.55325,-1.961
167,2,55.59024,-5.50231
170,1,51.293,1.096
174,4,53.268,-2.949
177,1,51.4955,-3.1455
181,4,53.4345,-2.407
184,1,58.1686,-4.7277
187,1,55.85696,-4.19661
190,3,53.04094,-2.082
193,1,55.01642777777778,-3.2296666666666667
196,1,56.4738,-3.0448
199,1,55.85503,-4.23901
202,1,50.624,-2.487
205,2,51.34417,-0.3226
208,2,53.22458,-1.38885
211,1,51.63585833333333,-3.300438888888889
214,3,51.5307,-0.0958
217,1,57.41145833333333,-2.7245166666666667
220,1,57.1402,-2.0986
223,1,55.82231,-4.1479
226,2,55.40459,-3.60908
229,1,55.46512,-3.60355
232,1,55.6162,-3.8697
235,1,55.85142,-4.01344
239,2,55.9666,-2.967
242,1,57.28102777777778,-4.457705555555556
245,1,58.50283611111111,-3.8938361111111113
248,2,53.229,-3.074
251,1,57.6344,-4.7692
254,1,53.301,-0.78162
257,1,56.5381,-3.273
260,2,52.456,-1.4637
263,3,51.711,-1.1905
267,2,55.4469,-4.4311
270,1,57.1311,-2.153
274,4,53.800702,-0.415399
277,2,55.8211,-4.3643
281,4,55.696886111111105,-5.458544444444445
285,2,55.9152,-2.5394
288,2,51.66025,-1.228
291,1,55.95,-3.98
294,1,56.3142,-3.035
297,1,55.9022,-3.3087
300,1,57.5565,-3.4198
304,2,55.83535,-4.20339
308,1,56.038830555555556,-3.8895833333333334
311,1,55.37269166666667,-4.203794444444445
315,2,55.9148,-4.7063
318,1,56.1373,-3.7792
321,1,55.94717,-3.209
325,2,58.57589,-3.7535
329,2,52.773,-1.653
333,2,53.736,-0.9924
336,1,55.906453,-3.5876
339,1,55.9157,-4.3489
342,1,58.2529,-3.4298
345,1,56.4617,-2.95
348,1,57.4279,-6.531
351,2,55.0619,-3.583
354,1,55.97658,-2.5727
357,1,55.804738888888885,-2.8414472222222225
360,1,56.08953,-3.4489
363,1,50.914,0.9474
366,1,57.270488888888885,-4.332819444444445
369,1,55.9746,-4.94
372,1,57.2159,-2.19
375,2,51.50171,-0.29627
378,1,52.21519,-0.30207
382,2,55.6681,-2.3277
385,2,51.92653,-0.90636
388,1,57.4723,-6.413
391,1,55.87858,-4.073
394,1,53.71376,-1.13026
397,1,55.7849,-4.1916
400,1,55.7395,-4.1611
403,1,55.8395,-4.4629
406,1,57.66490833333333,-3.321172222222222
409,2,53.694321,-1.823393
413,4,51.660537,-0.343537
416,1,55.437,-3.6723
419,2,52.59645,-1.21898
421,3,56.706,-4.0073
424,1,55.9036,-4.481
427,1,55.15855277777778,-3.1252194444444443
430,2,50.76802,-3.40333
433,1,57.33611666666667,-4.160388888888889
436,1,55.82499166666667,-2.666025
439,1,57.28102777777778,-4.457705555555556
442,1,57.3228,-4.7894
447,3,57.1366,-4.7145
450,1,50.82193,-1.33271
454,4,52.25257,-1.97212
457,1,56.369455555555554,-5.181380555555556
462,5,53.7201,-1.27258
466,1,56.96094444444445,-2.273
469,2,56.921,-2.292
472,2,53.37157,-2.68833
475,1,55.86244444444445,-4.278133333333333
478,4,51.25048,-0.87978
481,1,55.01232,-2.16339
484,1,57.68622,-2.02397
489,3,53.309609,-2.716069
492,1,56.82061,-5.078256
495,1,55.60803611111111,-2.769525
498,1,55.53543333333333,-3.9500833333333336
501,1,55.798,-4.2977
504,1,56.4572,-2.99
507,1,57.42781,-3.31586
510,1,54.8766,-4.798
513,1,56.1084,-3.2671
516,1,56.206874,-3.200938
519,1,55.935,-3.2348
522,1,58.227,-3.915
525,1,55.8535,-4.3142
528,1,51.445622,0.716257
531,3,52.24304,-0.7287
534,1,56.563494444444444,-3.7755194444444444
537,1,53.56602,-0.1518
540,2,56.0018,-3.6893
543,1,55.031952777777775,-3.050583333333333
546,1,54.57559444444445,-1.1317194444444445
549,1,57.6145,-4.8299
554,4,51.559444,-0.04317
557,1,55.2146,-4.693
560,1,55.8287,-4.2946
564,3,52.53002,-1.71398
567,1,55.17809166666667,-3.658166666666667
571,5,54.94098,-2.96329
574,1,54.70032,-1.29181
577,1,55.433163888888885,-2.80145
581,2,54.80584,-1.40144
584,1,56.0199,-4.701
587,2,54.03179,-2.89003
590,2,53.22812,-0.79259
594,3,51.20592,-3.13222
597,1,55.71974166666667,-4.890380555555555
600,1,53.63371,-0.22901
603,1,55.7432,-4.8635
606,1,55.7214,-4.8854
609,2,51.432936,0.154817
612,3,54.29744,-2.67142
615,1,51.54787,-3.030982
618,2,50.395883,-4.899538
621,1,56.04215,-3.38952
624,2,57.44839722222222,-4.2007111111111115
627,1,56.32387777777778,-4.7246805555555556
630,3,51.57009,-2.48042
633,2,52.63305833333333,-2.5097
638,6,51.542852,-0.497217
641,1,55.8443,-4.5041
644,1,53.329656,-1.457899
647,1,55.8905,-3.1634
650,4,53.59722,-0.75792
655,4,53.53814,-2.358225
659,3,57.54029722222222,-2.9386055555555557
662,4,51.3691,0.73969
665,3,53.47003,-2.84747
668,1,55.9033,-4.3099
671,1,56.4754,-4.3245
674,1,55.9047,-4.4121
677,2,55.04847777777778,-4.768913888888889
680,1,56.714672,-4.95435
685,3,55.5796,-4.456
688,1,55.5931,-4.487
691,1,55.664,-4.6781
694,1,51.41818,0.59879
698,3,57.21882222222222,-2.380830555555556
701,3,53.80583,-1.59684
704,2,52.431688,-2.013277
707,1,54.034771,-1.486459
710,1,57.4236,-4.2462
714,5,54.565917,-1.132965
717,1,58.0081,-4.395
720,2,51.423919,-0.470513
723,2,50.44432,-4.2421
726,4,53.02752,-3.05219
729,1,56.2078,-2.9972
732,1,55.905,-3.5019
735,1,55.6713,-3.8263
738,2,53.418938,-2.92394
742,3,51.46518,0.23863
745,2,50.91702,-1.04115
748,1,56.6544,-2.865
751,1,56.481063,-3.017
755,2,53.26858,-2.12055
758,1,57.6594,-2.491
761,1,51.56326,-3.75412
765,1,55.137372,-4.7672
768,3,50.84717,-1.89484
771,1,55.34214722222222,-4.685316666666667
775,3,51.39294,-2.14943
778,1,56.4686,-2.917
781,2,51.61765,-0.20891
784,1,57.134,-4.832
787,2,51.60704,-2.00284
790,1,55.33251944444445,-3.4815583333333335
793,2,53.75722,-1.26726
797,2,56.1059,-3.293
800,3,58.4460195,-3.424525
803,1,57.574,-3.8445
806,1,56.3348,-5.203
809,1,55.8213,-3.936
812,2,52.507106,-1.850622
815,2,55.377972222222226,-4.2168777777777775
819,2,53.40657,-1.48769
823,2,55.8078,-4.4742
826,1,54.9484,-4.491
830,4,51.484971,-0.059781
833,2,51.427905555555554,0.3297333333333333
836,2,51.499547,-0.410641
839,2,50.88088,0.44934
842,1,53.348845,-1.471621
845,3,52.57327,1.27176
849,3,54.59265,-1.36474722222222
852,2,50.94158,-1.48607
855,3,52.54205,-2.02945
858,1,54.88123,-1.45761
862,2,52.4989,-2.02352
865,1,57.515278,-4.664078
868,2,53.95723,-1.02412
871,1,53.795169,-2.327573
874,1,55.8391,-4.4107
877,1,55.8695,-4.3161
880,1,57.473797222222224,-1.79948055555556
883,1,57.50854,-1.80598
886,1,51.93501,0.11938
889,1,51.68226,-4.98996
893,3,52.55625,-2.2094
896,1,53.18855,-4.158325
900,2,57.1741,-2.1384
904,7,53.745285,-2.757246
907,2,53.400836,-1.443463
910,1,55.9523,-3.1225
913,1,53.97442,-1.13288
916,1,56.026,-5.35
919,1,55.8731,-4.2538
922,1,51.536079,-3.687646
925,2,53.421282,-2.738653
928,1,51.808369,-3.226676
932,3,52.86335,-1.25579
935,3,51.58756,0.59611
938,2,51.5886,0.042985
941,1,56.1453,-3.148
944,1,57.1084,-2.0916
948,3,53.622162,-2.216111
951,1,53.315031,-2.723429
954,1,52.756607,-1.914824
957,2,51.758668,0.010013
960,2,55.646,-4.7938
963,1,53.742347,-0.23807
966,1,54.606092,-1.238354
969,1,55.8,-4.25
972,2,51.53703,-2.670016
975,2,51.1052,0.9755
978,1,53.37526,-1.47706
981,1,57.943086,-4.413444
984,1,52.708557,-2.692423
987,1,55.9653,-3.1849
990,1,55.9257,-3.3
993,2,52.215035,1.618617
998,7,51.527105,-0.171495
1001,2,53.777704,-1.494575
1004,2,53.421151,-2.275361
1008,1,55.9078,-3.0339
1011,1,55.9355,-4.8113
1014,2,54.70558,-1.55633
1017,1,54.973534,-1.449522
1020,1,53.879073,-2.988174
1024,3,53.491812,-2.044787
1027,2,53.07769,-0.86891
1031,4,54.977571,-1.743554
1035,2,55.7526,-4.0802
1038,1,56.1157,-3.9146
1041,1,55.9469,-4.5761
1044,1,52.96017,-1.04854
1047,1,58.0365,-4.047
1050,1,57.5862,-2.07
1053,1,58.556916666666666,-3.9907472222222222
1055,1,53.487953,-1.601998
1058,2,51.936685,-0.502818
1062,4,51.68314,-3.959595
1065,1,57.1515,-2.788
1068,1,51.01688,-3.15327
1071,1,56.430053,-5.214
1074,2,56.520383333333335,-2.977713888888889
1077,1,55.9615,-3.2413
1080,1,53.412016,-1.386021
1084,3,53.578981,-1.087646
1087,1,58.5722,-3.5094
1090,2,53.40506,-1.267979
1094,3,51.459088,0.390143
1097,2,53.401268,-1.394641
1100,1,54.606738,-1.116915
1102,2,54.8545,-4.026
1105,1,55.95103,-2.419814
1108,2,51.603722,-0.048113
1112,2,52.92703,-3.94724
1115,1,51.482,-3.13041
1118,1,56.707625,-4.0117972222222225
1122,2,55.023723,-1.499451
1126,2,51.574199,-3.299965
1130,3,51.547216,-2.977617
1133,2,51.879253,-2.253635
1136,3,52.726053,0.19887
1139,2,51.714526,-0.01104
1142,2,51.552813,0.300665
1145,1,53.562699,-2.819849
1148,3,51.642877,-0.404187
1151,2,54.94071,-1.47081
1154,1,53.360669,-0.807366
1157,1,55.94132777777777,-2.454213888888889
1161,2,56.1628,-3.2959
1164,1,55.8626,-4.2641
1167,4,51.519771,0.001931
1170,2,53.528941,-2.167708
1173,1,55.9302,-3.1994
1177,5,51.565226,-2.908636
1180,1,56.08963888888889,-4.840927777777777
1183,1,53.416024,-1.413918
1186,1,52.577165,-2.060301
1190,2,52.85496,-1.55444
1193,2,54.575945,-1.131318
1196,3,51.430956,-0.18864
1199,1,57.1538,-2.0971
1203,6,51.534577,-0.257138
1208,4,55.7638,-3.9281
1212,2,55.9284,-4.3753
1215,2,55.6998,-4.254
1218,2,55.832,-4.023
1221,0,51.534577,-0.257138
1224,4,53.501857,-1.376874
1227,1,57.1542,-2.1463
1230,1,51.470263,0.288649
1234,4,51.353405,-0.48003
1237,2,53.415313,-4.482293
1240,1,51.926167,-0.250454
